"fov","cell_ID","Area","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px"
10,1,5836,346,3609,25423.7777777778,162475.666666667
10,2,6841,632,3614,25709.7777777778,162480.666666667
10,3,3300,785,3618,25862.7777777778,162484.666666667
10,4,3296,1960,3623,27037.7777777778,162489.666666667
10,5,2240,2080,3623,27157.7777777778,162489.666666667
10,6,5142,2173,3609,27250.7777777778,162475.666666667
10,7,12591,2370,3594,27447.7777777778,162460.666666667
10,8,2461,3355,3629,28432.7777777778,162495.666666667
10,9,5439,3465,3622,28542.7777777778,162488.666666667
